mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_ACC,split1_test_ACC,split2_test_ACC,split3_test_ACC,split4_test_ACC,mean_test_ACC,std_test_ACC,rank_test_ACC,split0_test_Custom Evaluation,split1_test_Custom Evaluation,split2_test_Custom Evaluation,split3_test_Custom Evaluation,split4_test_Custom Evaluation,mean_test_Custom Evaluation,std_test_Custom Evaluation,rank_test_Custom Evaluation
0.18542585372924805,0.0092963926125088,0.0,0.0,889,1,1,auto,88,False,"{'n_estimators': 889, 'min_samples_split': 1, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 88, 'bootstrap': False}",,,,,,,,53,,,,,,,,53
0.27301363945007323,0.011937149219772484,0.0,0.0,1333,1,4,auto,33,True,"{'n_estimators': 1333, 'min_samples_split': 1, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 33, 'bootstrap': True}",,,,,,,,74,,,,,,,,74
0.27060747146606445,0.004631976551601907,0.0,0.0,1333,1,2,auto,66,True,"{'n_estimators': 1333, 'min_samples_split': 1, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 66, 'bootstrap': True}",,,,,,,,76,,,,,,,,76
0.1740194797515869,0.010902776292825581,0.01320662498474121,0.0007373840649693761,223,2,2,auto,77,True,"{'n_estimators': 223, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 77, 'bootstrap': True}",,,,,,,,99,,,,,,,,99
0.5071932792663574,0.0050468372771477685,0.03762617111206055,0.001344126708946583,667,2,4,auto,33,True,"{'n_estimators': 667, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 33, 'bootstrap': True}",,,,,,,,77,,,,,,,,77
0.35761246681213377,0.005452574733779124,0.0,0.0,1777,1,2,auto,11,False,"{'n_estimators': 1777, 'min_samples_split': 1, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 11, 'bootstrap': False}",,,,,,,,98,,,,,,,,98
0.1876067638397217,0.0056888101976293485,0.0,0.0,889,1,4,sqrt,99,True,"{'n_estimators': 889, 'min_samples_split': 1, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 99, 'bootstrap': True}",,,,,,,,97,,,,,,,,97
0.2630154609680176,0.005920962465070529,0.0,0.0,1333,1,1,auto,22,False,"{'n_estimators': 1333, 'min_samples_split': 1, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 22, 'bootstrap': False}",,,,,,,,96,,,,,,,,96
0.6264062404632569,0.016232051655874102,0.05200672149658203,0.010713062409620281,889,2,1,auto,1,True,"{'n_estimators': 889, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 1, 'bootstrap': True}",,,,,,,,95,,,,,,,,95
0.002397584915161133,0.00047953589160795653,0.0,0.0,1,1,2,sqrt,99,True,"{'n_estimators': 1, 'min_samples_split': 1, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 99, 'bootstrap': True}",,,,,,,,94,,,,,,,,94
1.5874102115631104,0.06252305620246111,0.10760760307312012,0.013099203790685196,2000,2,1,auto,55,True,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 55, 'bootstrap': True}",,,,,,,,93,,,,,,,,93
0.0026083469390869142,0.00047084786290622,0.0,0.0,1,1,4,sqrt,88,True,"{'n_estimators': 1, 'min_samples_split': 1, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 88, 'bootstrap': True}",,,,,,,,92,,,,,,,,92
