mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_ACC,split1_test_ACC,split2_test_ACC,split3_test_ACC,split4_test_ACC,mean_test_ACC,std_test_ACC,rank_test_ACC,split0_test_ExpectedLoss,split1_test_ExpectedLoss,split2_test_ExpectedLoss,split3_test_ExpectedLoss,split4_test_ExpectedLoss,mean_test_ExpectedLoss,std_test_ExpectedLoss,rank_test_ExpectedLoss
0.11013884544372558,0.02528948262464324,0.007607126235961914,0.0009718741977301041,0.6,0.1,1,3,1,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}",0.8947368421052632,0.6666666666666666,0.8888888888888888,0.7222222222222222,0.7222222222222222,0.7789473684210526,0.09437879057061589,226,-0.14285714285714285,-1.1666666666666667,-0.2857142857142857,-0.44,-0.6363636363636364,-0.5343203463203463,0.3561514966033747,145
0.06535134315490723,0.012899479355307447,0.007001829147338867,0.001264178596365797,0.6,0.1,1,3,1,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",0.8947368421052632,0.6666666666666666,0.8888888888888888,0.7222222222222222,0.7222222222222222,0.7789473684210526,0.09437879057061589,226,-0.14285714285714285,-1.1666666666666667,-0.2857142857142857,-0.44,-0.6363636363636364,-0.5343203463203463,0.3561514966033747,145
0.04380068778991699,0.0026367298827306073,0.007198762893676758,0.001470852947834528,0.6,0.1,1,3,3,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6}",0.8947368421052632,0.6666666666666666,0.8888888888888888,0.7222222222222222,0.7777777777777778,0.7900584795321637,0.09022540920188477,109,-0.14285714285714285,-1.1666666666666667,-0.16129032258064516,-0.44,-0.38461538461538464,-0.45908590334396787,0.37289770805723416,82
0.04957122802734375,0.004778160039092259,0.006592416763305664,0.0012106410956257317,0.6,0.1,1,3,3,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8}",0.8947368421052632,0.6111111111111112,0.9444444444444444,0.7222222222222222,0.7777777777777778,0.7900584795321638,0.11963888988042468,82,-0.14285714285714285,-1.7857142857142858,-0.125,-0.44,-0.38461538461538464,-0.5756373626373626,0.6179879936101892,217
0.04579925537109375,0.003969094171754146,0.006818008422851562,0.0014603504246380593,0.6,0.1,1,3,5,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6}",0.6842105263157895,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6812865497076024,0.04122703329126212,388,-1.5,-2.5454545454545454,-1.25,-1.25,-2.0,-1.709090909090909,0.4998760176862371,388
0.04554452896118164,0.007511831359902499,0.007786607742309571,0.0019231892040910462,0.6,0.1,1,3,5,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8}",0.8947368421052632,0.7777777777777778,0.8888888888888888,0.7222222222222222,0.7777777777777778,0.8122807017543859,0.06805771474140891,19,-0.14285714285714285,-0.5,-0.16129032258064516,-0.6363636363636364,-0.38461538461538464,-0.36502529728336175,0.19135990432074954,46
0.03978285789489746,0.003638134383344288,0.008021879196166991,0.0012818015067367129,0.6,0.1,1,3,10,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6}",0.631578947368421,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6485380116959064,0.023127157816707794,415,-2.3333333333333335,-2.5454545454545454,-2.0,-2.0,-2.0,-2.175757575757576,0.22546757863925182,415
0.03999910354614258,0.006812275948301812,0.006464433670043945,0.000941089473364702,0.6,0.1,1,3,10,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8}",0.631578947368421,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6485380116959064,0.023127157816707794,415,-2.3333333333333335,-2.5454545454545454,-2.0,-2.0,-2.0,-2.175757575757576,0.22546757863925182,415
0.054799365997314456,0.005774568094257926,0.006800556182861328,0.0011656319746329211,0.6,0.1,1,4,1,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.8947368421052632,0.6666666666666666,0.8888888888888888,0.7222222222222222,0.7222222222222222,0.7789473684210526,0.09437879057061589,226,-0.14285714285714285,-1.1666666666666667,-0.2857142857142857,-0.44,-0.6363636363636364,-0.5343203463203463,0.3561514966033747,145
0.0593470573425293,0.005568450917923473,0.006721878051757812,0.0011997239161360596,0.6,0.1,1,4,1,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.8947368421052632,0.6666666666666666,0.8888888888888888,0.7222222222222222,0.7222222222222222,0.7789473684210526,0.09437879057061589,226,-0.14285714285714285,-1.1666666666666667,-0.2857142857142857,-0.44,-0.6363636363636364,-0.5343203463203463,0.3561514966033747,145
